NPI,HCPCS
1023292950,G6002
1023292950,77338
1023292950,77435
1023292950,99213
1023292950,99215
1023292950,99205
1023292950,77307
1023292950,77331
1023292950,99223
1023292950,77300
1023292950,77280
1023292950,99214
1023292950,77290
1023292950,77427
1023292950,77301
1023292950,77332
1023292950,77334
1023292950,77470
1023292950,77014
1023292950,76377
1023292950,77293
1023292950,77295
1023292950,77263
1023270394,99358
1023270394,99306
1023270394,99309
1023270394,99316
1013901594,99222
1013901594,31624
1013901594,31628
1013901594,99231
1013901594,99214
1013901594,31627
1013901594,94727
1013901594,99204
1013901594,99152
1013901594,94729
1013901594,94375
1013901594,31623
1013901594,71046
1013901594,94250
1013901594,94010
1013901594,99232
1013901594,94060
1013904812,96372
1013904812,99214
1013904812,99204
1013904812,G0121
1013904812,99495
1013904812,90732
1013904812,81003
1013904812,G0008
1013904812,99238
1013904812,99231
1013904812,99213
1013904812,G0439
1013904812,G0009
1013904812,83036
1013904812,90653
1013904812,J1040
1013904812,36415
1013904812,85610
1013904812,99309
1013904812,99232
1013904812,82570
1013904812,82043
1013904812,99222
1013904812,93000
1013904812,G0105
1013904812,81001
1013904812,90686
1013904812,85025
1013904812,99308
1023339413,99204
1023339413,99215
1023339413,99205
1023339413,99214
1023339413,95251
1023339413,99213
1023064862,99233
1023064862,99220
1023064862,99291
1023064862,99232
1023064862,99223
1023064862,99222
1023064862,99217
1023064862,99238
1023064862,99239
1023064862,99231
1023079613,99204
1023079613,93352
1023079613,99214
1023079613,99213
1023079613,J0461
1023079613,Q9957
1023079613,93306
1023079613,93000
1023079613,93351
1023079613,J1250
1023079613,93320
1023079613,99203
1023079613,93325
1023080116,80061
1023080116,84443
1023080116,84550
1023080116,87804
1023080116,84439
1023080116,83540
1023080116,82728
1023080116,94060
1023080116,G0180
1023080116,83735
1023080116,84481
1023080116,69210
1023080116,96372
1023080116,82746
1023080116,J3420
1023080116,99496
1023080116,83550
1023080116,82306
1023080116,82044
1023080116,G0444
1023080116,80053
1023080116,85651
1023080116,82150
1023080116,83880
1023080116,G0103
1023080116,85025
1023080116,93000
1023080116,99213
1023080116,83690
1023080116,87880
1023080116,90732
1023080116,G0008
1023080116,83036
1023080116,90686
1023080116,82570
1023080116,90653
1023080116,36415
1023080116,81003
1023080116,J1040
1023080116,G0009
1023080116,99214
1023080116,82607
1023080116,J1885
1023080116,J7620
1023080116,G0439
1023080116,99215
1023080116,94640
1023233145,81002
1023233145,G0008
1023233145,G0444
1023233145,99213
1023233145,99490
1023233145,99214
1023233145,90732
1023233145,90662
1023233145,G0009
1023233145,83036
1023233145,G0438
1023233145,96372
1023233145,G0439
1023264819,G0008
1023264819,G0009
1023264819,99213
1023264819,99214
