fraudulent_provider,female,tot_suplrs_standard_deviation,tot_suplrs_mean,tot_suplrs_sum,tot_suplr_benes_standard_deviation,tot_suplr_benes_mean,tot_suplr_benes_sum,tot_suplr_clms_standard_deviation,tot_suplr_clms_mean,tot_suplr_clms_sum,tot_suplr_srvcs_standard_deviation,tot_suplr_srvcs_mean,tot_suplr_srvcs_sum,avg_suplr_sbmtd_chrg_standard_deviation,avg_suplr_sbmtd_chrg_mean,avg_suplr_sbmtd_chrg_sum,avg_suplr_mdcr_pymt_amt_standard_deviation,avg_suplr_mdcr_pymt_amt_mean,avg_suplr_mdcr_pymt_amt_sum,bene_unique_cnt_mean,bene_unique_cnt_sum,bene_unique_cnt_standard_deviation,line_svc_cnt_mean,line_svc_cnt_sum,line_svc_cnt_standard_deviation,bene_day_srvc_cnt_mean,bene_day_srvc_cnt_sum,bene_day_srvc_cnt_standard_deviation,average_submitted_chrg_amt_mean,average_submitted_chrg_amt_sum,average_submitted_chrg_amt_standard_deviation,average_medicare_payment_amt_mean,average_medicare_payment_amt_sum,average_medicare_payment_amt_standard_deviation,total_claim_count_mean,total_claim_count_sum,total_claim_count_standard_deviation,total_30_day_fill_count_mean,total_30_day_fill_count_sum,total_30_day_fill_count_standard_deviation,total_day_supply_mean,total_day_supply_sum,total_day_supply_standard_deviation,total_drug_cost_mean,total_drug_cost_sum,total_drug_cost_standard_deviation,bene_count_mean,bene_count_sum,bene_count_standard_deviation
0,0,1,1,15,0,5,45,1,12,111,267,322,2900,11.17856918,7.934429033,71.4098613,4.658956146,3.49931535,31.49383815,25,680,16,26,711,18,26,711,18,559.3995084,15103.78673,840.0090016,188.9981296,5102.949499,319.7346872,27,1508,29,27.61818182,1519.0,29.14109413,384,21144,401,1834.15,100878.25,3909.668186,18,1044,29
0,1,1,2,4,0,5,10,4,15,31,212,2130,4260,0.099823854,6.870322967,13.74064593,0.025437236,1.617320175,3.234640351,39,1649,31,43,1836,39,43,1835,39,591.4050544,24839.01229,901.0802663,73.98586719,3107.406422,107.1687631,36,1503,36,50.2902439,2061.9,56.02040613,1443,59170,1697,6796.406341,278652.66,9074.051325,13,564,13
0,0,1,2,53,0,5,95,12,18,352,919,470,8938,139.2315843,104.5234103,1985.944796,22.44239794,18.79291541,357.0653928,46,3323,38,111,8025,141,83,5982,115,77.40155718,5572.912117,53.62371273,33.47367989,2410.104952,25.84495619,78,97476,123,125.4753027,155463.9,217.2994144,3601,4462756,6437,3199.51799,3964202.79,6778.363303,20,25385,29
0,0,0,1,26,0,5,70,5,19,270,714,442,6201,196.9796483,142.0196089,1988.274525,65.98853976,58.09900549,813.3860769,44,3843,35,373,32531,643,148,12935,124,66.61217746,5795.259439,63.04755611,50.69953493,4410.859539,47.83132044,24,1546,14,30.934375,1979.8,26.60990518,804,51480,825,11588.35141,741654.49,33653.79281,5,377,2
0,1,5,6,185,6,9,271,18,28,812,50,50,1478,151.6625995,122.0447207,3539.296899,41.27913505,30.54008073,885.6623413,52,3683,41,65,4617,64,65,4612,64,129.9476579,9096.336052,110.6641365,59.95253604,4196.677523,51.21803128,34,14948,31,73.90296128,32443.4,84.21590683,2150,943978,2547,1363.54672,598597.01,2337.988826,9,4234,9
0,1,4,4,8,0,5,10,1,12,24,12,23,47,324.5830048,289.9951563,579.9903125,38.43150399,32.78548958,65.57097917,25,664,14,37,978,30,37,978,30,107.5220513,2795.573333,69.41387644,48.52910394,1261.756702,30.73248453,27,8523,22,41.19267516,12934.5,39.96748012,1202,377539,1215,1230.188376,386279.15,2521.639762,6,2111,4
0,0,0,1,6,3,28,113,3,28,113,69,111,446,17.01318077,85.45439042,341.8175617,10.88306554,42.534502,170.138008,65,2965,71,157,7102,258,150,6780,260,99.16236305,4462.306337,61.48834423,43.73399741,1968.029883,30.92209107,17,273,4,17.3125,277.0,4.331570154,383,6134,154,377.02,6032.32,272.2646065,5,89,2
0,0,3,4,480,3,7,688,7,18,1796,110,45,4426,106.2394585,105.522635,10341.21823,32.29326311,30.67564084,3006.212803,72,6305,85,109,9536,159,104,9055,160,71.07557243,6183.574802,65.00194424,43.17274465,3756.028784,45.33598057,49,35316,86,112.1674157,79863.2,160.5595753,3340,2378188,4817,5793.993483,4125323.36,11373.64274,14,10547,20
0,0,4,4,39,5,8,70,33,40,322,46,56,455,84.28580358,67.99567386,543.9653909,38.80841308,29.12618458,233.0094766,47,475,39,117,1172,135,117,1172,135,327.95,3279.5,155.0111346,110.6196606,1106.196606,48.38123548,57,8301,56,67.13517241,9734.6,66.73027333,1960,284265,1998,4607.543793,668093.85,9049.747006,13,1887,11
0,0,0,1,14,0,5,40,7,19,158,724,389,3116,165.212445,92.27451787,738.196143,65.23135427,44.67719455,357.4175564,76,15374,130,729,145885,2073,134,26986,252,271.533529,54306.70579,866.6029465,76.75456722,15350.91344,268.3900402,37,3480,38,44.81914894,4213.0,49.29380706,1143,107527,1424,19668.19915,1848810.72,66934.47156,11,1039,11
0,0,8,6,262,13,10,419,34,37,1466,1131,477,18626,137.247256,83.10124558,3240.948577,59.9322061,30.77909071,1200.384538,64,7130,67,108,12098,135,108,12098,135,155.8483483,17299.16666,124.5696856,63.72510414,7073.48656,51.39118715,56,59727,75,122.1842897,129881.9,182.5351994,3538,3761541,5456,2867.619812,3048279.86,5395.063763,20,21772,26
0,0,0,4,4,0,5,5,0,13,13,0,24,24,0.0,53.00458333,53.00458333,0.0,5.9775,5.9775,48,1606,47,59,1955,63,58,1943,63,95.81548914,3161.911142,59.90516528,36.88192791,1217.103621,26.27175035,27,8298,20,30.77766667,9233.3,23.37604041,746,223918,682,479.7997333,143939.92,908.7876779,12,3746,13
0,1,1,2,45,0,5,105,4,15,327,1192,393,8259,241.5423923,249.8700488,5247.271025,43.09961144,41.59456325,873.4858282,58,2983,64,93,4769,103,84,4324,105,86.4840136,4410.684694,76.19242398,32.71950866,1668.694942,30.48364767,26,11618,20,43.19494253,18789.8,43.46128604,1238,538715,1322,914.7307586,397907.88,1862.822614,9,3925,7
0,0,0,1,5,0,5,20,5,18,72,5,18,72,217.0963055,208.7388235,834.9552941,28.28267178,37.63371658,150.5348663,64,1809,47,106,2993,106,106,2993,106,376.25,10535.0,188.6768009,81.09475414,2270.653116,39.02890914,14,238,4,15.2625,244.2,4.350306503,381,6096,145,315.275625,5044.41,368.1372927,6,101,2
0,1,0,1,3,0,13,40,2,21,63,133,162,488,2742.498368,1651.277011,4953.831034,274.9697049,171.8657251,515.5971752,33,371,26,151,1667,233,149,1649,233,250.2727273,2753.0,193.7509179,62.31058719,685.4164591,45.48887249,19,175,8,22.52222222,202.7,10.1182728,478,4305,357,3836.261111,34526.35,6901.745731,13,125,7
0,1,26,22,337,41,35,531,114,91,1378,389,368,5526,267.9041392,188.107638,2821.61457,97.7178576,63.3031058,949.5465869,104,1988,94,162,3095,172,162,3095,172,111.3424658,2115.506849,88.06871747,32.69915496,621.2839443,27.53799521,61,22429,106,111.6032698,40958.4,204.0366486,3318,1217967,6108,14806.07313,5433828.84,27249.24781,20,7350,33
0,0,4,4,212,4,7,351,13,21,1011,322,201,9449,142.8419062,104.0818061,4891.844887,22.3167152,17.31428567,813.7714263,38,1882,26,51,2530,45,51,2530,45,99.62976094,4881.858286,76.66599186,52.01780359,2548.872376,41.48436362,53,62683,62,91.03418367,107056.2,118.6473569,2669,3139027,3577,4222.942696,4966180.61,7765.838278,14,16602,15
0,0,18,14,243,33,28,486,105,72,1238,369,282,4810,22.14510723,28.19465915,479.3092056,13.13030086,9.887806479,168.0927102,124,868,97,215,1506,194,214,1504,193,142.3100769,996.1705385,97.16253181,80.42808967,562.9966277,58.48634416,43,4552,51,66.50095238,6982.6,83.39186745,1962,206066,2477,6678.920095,701286.61,11626.00006,10,1136,11
0,0,1,2,137,26,42,2538,24,44,2688,24,50,3011,225.2615494,339.9966813,20399.80088,137.4325101,201.6348292,12098.08975,73,13588,101,106,19763,149,92,17278,137,1024.506619,190558.2312,1036.775107,125.3420051,23313.61295,134.4130354,41,3631,37,45.14367816,3927.5,38.53058797,842,73291,872,810.6943678,70530.41,1177.70589,22,1951,28
0,1,3,4,171,4,8,329,22,31,1254,1351,480,19216,267.1617414,156.3298719,6253.194875,110.4884745,41.24323071,1649.729229,57,4129,44,74,5373,71,74,5373,71,156.0473673,11235.41045,129.7486453,70.2471577,5057.795354,55.45893446,45,2475,37,58.86296296,3178.6,49.59510131,1612,87088,1446,12646.09463,682889.11,16600.43714,17,964,16
0,1,1,5,67,2,5,67,13,30,364,37,55,664,26.0076018,49.61940779,595.4328935,5.350791752,6.304286259,75.65143511,33,302,7,59,538,30,59,538,30,190.5555556,1715.0,52.82307997,53.32695757,479.9426181,13.44498188,47,29509,56,48.65280899,30310.7,57.35882197,1396,870201,1657,27451.6943,17100000.0,97486.39299,7,4371,5
